artist,song,time,bpm,year,genre,details,album,track num
Aqua,Barbie Girl,3:13,130.0,1997,Electronica/Pop,../track/POBO1997_001/POBO1997_001-01.html,Promo Only - Best of 1997 - Disc 1,1
Depeche Mode,Barrel of a Gun,3:57,83.0,1997,Pop/Rock,../track/HOTTRACK_038/HOTTRACK_038-17.html,Hott Tracks 038,17
The Nixons,Baton Rouge,3:37,96.9,1997,Rock,../track/HOTTROCK_017/HOTTROCK_017-03.html,Hott Rocks 017,3
Ben Folds Five,Battle of Who Could Care Less,3:16,98.1,1997,Rock,../track/BENFOLD5_WEA/BENFOLD5_WEA-10.html,Whatever and Ever Amen,10
Duran Duran,Be My Icon,5:15,96.1,1997,Pop/Rock,../track/DURNDURN_MED/DURNDURN_MED-07.html,Medazzaland,7
Marilyn Manson,Beautiful People,3:42,143.9,1997,Rock,../track/BIGSHINY_002/BIGSHINY_002-07.html,Big Shiny Tunes 2,7
Motley Crue,Beauty,3:45,109.1,1997,Rock,../track/HOTTROCK_020/HOTTROCK_020-09.html,Hott Rocks 020,9
Wynton Marsalis,Bebop,3:16,124.9,1997,Jazz,../track/WYNTMARS_JSJ/WYNTMARS_JSJ-15.html,Jump Start and Jazz - Two Ballets by Wynton Marsalis,15
Puff Daddy & The Family,Been Around the World,3:57,99.4,1997,Rap/Pop,../track/HOTTRACK_053/HOTTRACK_053-06.html,Hott Tracks 053,6
The Cardigans,Been It,3:40,105.9,1997,Alternative,../track/HOTTRACK_043/HOTTRACK_043-14.html,Hott Tracks 043,14
Denis Leary,Beer,4:19,109.3,1997,Comedy,../track/DENLEARY_LNL/DENLEARY_LNL-07.html,Lock 'N Load,7
Zuckerbaby,Bellybutton Queen,3:53,125.0,1997,Rock,../track/ZUKRBABY_STD/ZUKRBABY_STD-05.html,Zuckerbaby,5
Michael Bolton,The Best of Love,4:13,91.1,1997,Pop/Rock,../track/HOTTRACK_056/HOTTRACK_056-17.html,Hott Tracks 056,17
The Emotions,Best Of My Love,3:39,116.1,1997,Pop/Soundtrack,../track/BOOGNITE_ST1/BOOGNITE_ST1-02.html,Boogie Nights - Music From The Original Motion Picture,2
Foxy Brown&Dru Hill,Big Bad Mamma,3:34,107.0,1997,Rap,../track/HOTTRACK_050/HOTTRACK_050-10.html,Hott Tracks 050,10
Duran Duran,Big Bang Generation,4:44,100.0,1997,Pop/Rock,../track/DURNDURN_MED/DURNDURN_MED-02.html,Medazzaland,2
Heavy D,Big Daddy,3:49,89.2,1997,Rap,../track/HOTTRACK_040/HOTTRACK_040-11.html,Hott Tracks 040,11
Our Lady Peace,Big Dumb Rocket,4:23,84.0,1997,Rock/Pop,../track/OURLADYP_CLM/OURLADYP_CLM-04.html,Clumsy,4
Michael Penn&Patrick Warren,The Big Top (Theme From 'Boogie Nights'),9:58,127.4,1997,Soundtrack,../track/BOOGNITE_ST1/BOOGNITE_ST1-13.html,Boogie Nights - Music From The Original Motion Picture,13
Wang Chung,Big World,6:14,119.0,1997,Rock/Pop,../track/WANGCHNG_GH1/WANGCHNG_GH1-10.html,Greatest Hits,10
Mychael Danna,Biki Is Insulted,1:22,117.9,1997,Soundtrack,../track/KAMSUTRA_ST1/KAMSUTRA_ST1-16.html,Kama Sutra: A Tale of Love - Original Motion Picture Soundtrack,16
Amanda Marshall,Birmingham,4:09,92.8,1997,Pop/Rock,../track/HITZONE__003/HITZONE__003-09.html,Hit Zone 3,9
Meredith Brooks,Bitch,3:57,96.4,1997,Rock/Pop,../track/HOTTROCK_016/HOTTROCK_016-13.html,Hott Rocks 016,13
Meredith Brooks,Bitch,3:58,96.4,1997,Rock/Pop,../track/POBO1997_003/POBO1997_003-02.html,Promo Only - Best of 1997 - Disc 3,2
The Verve,Bitter Sweet Symphony,5:57,85.5,1997,Rock,../track/HOTSTUFF_003/HOTSTUFF_003-15.html,Dance Time - Hot Stuff - 003,15
The Verve,Bitter Sweet Symphony,4:15,85.5,1997,Rock/Pop,../track/HOTTROCK_022/HOTTROCK_022-08.html,Hott Rocks 022,8
